"Language","original","english","polish",
"Stworzyles_puszke_karpia","A can of carp has been produced","A can of carp has been produced","Wytworzono puszkę z karpia",
"Stworzyles_puszka_drobiowa","A can of poultry has been produced","A can of poultry has been produced","Wytworzono puszkę drobiową",
"Stworzyles_puszke_Wolowiny","A can of beef has been produced","A can of beef has been produced","Wytworzono puszkę wołowiny",
"Stworzyles_puszke_Jelenia","A can of venison has been produced","A can of venison has been produced","Wytworzono puszkę z jelenia",
"Stworzyles_puszke_Lisa","A can of fox has been produced","A can of fox has been produced","Wytworzono puszkę z lisa",
"Stworzyles_puszke_kozy","A can of goat has been produced","A can of goat has been produced","Wytworzono puszkę z kozy",
"Stworzyles_puszke_Makreli","A can of mackerel has been produced","A can of mackerel has been produced","Wytworzono puszkę z makreli",
"Stworzyles_puszke_Wieprzowiny","A can of pork has been produced","A can of pork has been produced","Wytworzono puszkę wieprzowiny",
"Stworzyles_puszke_Krolika","A can of rabbit has been produced","A can of rabbit has been produced","Wytworzono puszkę z królika",
"Stworzyles_puszke_Renifera","A can of reindeer has been produced","A can of reindeer has been produced","Wytworzono puszkę z renifera",
"Stworzyles_puszke_Sardynek","A can of sardines has been produced","A can of sardines has been produced","Wytworzono puszkę sardynek",
"Stworzyles_puszke_baraniny","A can of lamb has been produced","A can of lamb has been produced","Wytworzono puszkę z baraniny",
"Stworzyles_puszke_z_Trout","A can of trout has been produced","A can of trout has been produced","Wytworzono puszkę z pstrąga",
"Stworzyles_puszke_z_Mintaja","A can of pollock has been produced","A can of pollock has been produced","Wytworzono puszkę z mintaja",
"Stworzyles_puszke_z_Wilka","A can of wolf has been produced","A can of wolf has been produced","Wytworzono puszkę z wilka",
"Stworzyles_papryka_w_occie","Pickled peppers have been produced","Pickled peppers have been produced","Wytworzono paprykę w occie",
"Stworzyles_pieczarka_w_occie","Pickled mushrooms have been produced","Pickled mushrooms have been produced","Wytworzono pieczarki w occie",
"Stworzyles_Borowiki_w_occie","Pickled boletus mushrooms have been produced","Pickled boletus mushrooms have been produced","Wytworzono borowiki w occie",
"Stworzyles_Rydza_w_occie","Pickled saffron milk caps have been produced","Pickled saffron milk caps have been produced","Wytworzono rydze w occie",
"Stworzyles_Kania_w_occie","Pickled parasol mushrooms have been produced","Pickled parasol mushrooms have been produced","Wytworzono kanie w occie",
"Stworzyles_gruszka_w_occie","Pickled pears have been produced","Pickled pears have been produced","Wytworzono gruszki w occie",
"Stworzyles_sloik_papryka_w_occie","A jar of pickled peppers has been produced","A jar of pickled peppers has been produced","Wytworzono słoik papryki w occie",
"Stworzyles_Boczniaki_w_occie","Pickled oyster mushrooms have been produced","Pickled oyster mushrooms have been produced","Wytworzono boczniaki w occie",
"Stworzyles_dynia_w_occie","Pickled pumpkin has been produced","Pickled pumpkin has been produced","Wytworzono dynię w occie",
"Stworzyles_cukinia_w_occie","Pickled zucchini has been produced","Pickled zucchini has been produced","Wytworzono cukinię w occie",
"Stworzyles_puszka_musu_jablkowego","A can of apple puree has been produced","A can of apple puree has been produced","Wytworzono puszkę musu jabłkowego",
"Stworzyles_puszka_musu_gruszkowego","A can of pear puree has been produced","A can of pear puree has been produced","Wytworzono puszkę musu gruszkowego",
"Stworzyles_puszke_powidel_sliwkowych","A can of plum preserves has been produced","A can of plum preserves has been produced","Wytworzono puszkę powideł śliwkowych",
"Stworzyles_puszka_puree_ziemniaczanego","A can of mashed potatoes has been produced","A can of mashed potatoes has been produced","Wytworzono puszkę puree ziemniaczanego",
"Stworzyles_puszke_puszke_musu_dyniowego","A can of pumpkin puree has been produced","A can of pumpkin puree has been produced","Wytworzono puszkę musu dyniowego",
"Stworzyles_puszke_przecieru_pomidorowego","A can of tomato paste has been produced","A can of tomato paste has been produced","Wytworzono puszkę przecieru pomidorowego",
"Stworzyles_dzem_jablkowy","Apple jam has been produced","Apple jam has been produced","Wytworzono dżem jabłkowy",
"Stworzyles_dzem_gruszkowy","Pear jam has been produced","Pear jam has been produced","Wytworzono dżem gruszkowy",
"Stworzyles_marmolade_sliwkowa","Plum marmalade has been produced","Plum marmalade has been produced","Wytworzono marmoladę śliwkową",
"Stworzyles_dzem_dyniowy","Pumpkin jam has been produced","Pumpkin jam has been produced","Wytworzono dżem dyniowy",
"Stworzyles_puszke_sloniny","A can of lard was produced","A can of lard was produced","Wytworzono puszkę słoniny",
"Stworzyles_konfiture_dzika_roza","Rosehip jam produced","Rosehip jam produced","Wytworzono konfiturę z dzikiej róży",
"Stworzyles_konfiture_czarny_bez","Elderberry jam produced","Elderberry jam produced","Wytworzono konfiturę z czarnego bzu",


"Wytworz_puszka_sloniny","Produce a can of lard","Produce a can of lard","Wytwórz puszkę słoniny",
"Wytworz_puszke_przecieru_pomidorowego","make a can of tomato puree","make a can of tomato puree","Wytwórz puszkę przecieru pomidorowego",
"Wytworz_puszke_musu_dyniowego","Prepare a can of Pumpkin mousse","Prepare a can of Pumpkin mousse","Wytwórz puszkę musu dyniowego",
"Wytworz_puszka_puree_ziemniaczanego"," Produce a can of potato piree"," Produce a can of potato piree"," Wytwórz puree ziemniaczanego",
"Wytworz_puszka_musu_gruszkowego","Prepare a can of pear mousse","Prepare a can of pear mousse","Wytwórz puszkę musu gruszkowego",
"Wytworz_puszka_musu_jablkowego","Prepare a can of apple mousse","Prepare a can of apple mousse","Wytwórz puszkę musu jabłkowego",
"Wytworz_puszke_powidel_sliwkowych","Prepare a can of plum jam","Prepare a can of plum jam","Wytwórz puszkę powideł śliwkowych",
"Wytwórz_puszke_musu_dyniowego","Prepare a can of pumpkin mousse","Prepare a can of pumpkin mousse","Wytwórz puszkę musu dyniowego",
"Wytworz_dzem_gruszkowy","Prepare pear jam","Prepare pear jam","Wytwórz dżem gruszkowy",
"Wytworz_dzem_dyniowy","Prepare pumpkin jam","Prepare pumpkin jam","Wytwórz dżem dyniowy",
"Wytworz_marmolade_sliwkowa","Prepare plum marmalade","Prepare plum marmalade","Wytwórz marmoladę śliwkową",
"Wytworz_dzem_jablkowy","Prepare apple jam","Prepare apple jam","Wytwórz dżem jabłkowy",
"Wytworz_konfiture_dzika_roza","Prepare rosehip jam","Prepare rosehip jam","Wytwórz konfiturę z dzikiej róży",
"Wytworz_konfiture_czarny_bez","Prepare elderberry jam","Prepare elderberry jam","Wytwórz konfiturę z czarnego bzu",
"Wytworz_puszke_z_niedzwiedzia","Prepare a can of bear meat","Prepare a can of bear meat","Wytwórz puszkę z niedźwiedzia",
"Wytworz_puszke_Dzika","Prepare a can of wild boar meat","Prepare a can of wild boar meat","Wytwórz puszkę dzika",
"Wytworz_puszka_Karpia","Prepare a can of carp","Prepare a can of carp","Wytwórz puszkę z karpia",
"Wytworz_puszka_drobiowa","Prepare a can of poultry","Prepare a can of poultry","Wytwórz puszkę drobiową",
"Wytworz_puszke_Wolowiny","Prepare a can of beef","Prepare a can of beef","Wytwórz puszkę wołowiny",
"Wytworz_puszke_Jelenia","Prepare a can of venison","Prepare a can of venison","Wytwórz puszkę z jelenia",
"Wytworz_puszke_Lisa","Prepare a can of fox meat","Prepare a can of fox meat","Wytwórz puszkę z lisa",
"Wyrworz_puszke_kozy","Prepare a can of goat meat","Prepare a can of goat meat","Wytwórz puszkę z kozy",
"Wytworz_puszke_Makreli","Prepare a can of mackerel","Prepare a can of mackerel","Wytwórz puszkę z makreli",
"Wytworz_puszke_Wieprzowiny","Prepare a can of pork","Prepare a can of pork","Wytwórz puszkę wieprzowiny",
"Wytworz_puszke_Krolika","Prepare a can of rabbit meat","Prepare a can of rabbit meat","Wytwórz puszkę z królika",
"Wytworz_puszke_Sardynek","Prepare a can of sardines","Prepare a can of sardines","Wytwórz puszkę sardynek",
"Wytworz_puszke_baraniny","Prepare a can of lamb meat","Prepare a can of lamb meat","Wytwórz puszkę baraniny",
"Wytworz_puszke_z_Trout","Prepare a can of trout","Prepare a can of trout","Wytwórz puszkę z pstrąga",
"Wytworz_puszke_z_Mintaja","Prepare a can of pollock","Prepare a can of pollock","Wytwórz puszkę z mintaja",
"Wytworz_pieczarka_w_occie","Prepare pickled champignon","Prepare pickled champignon","Wytwórz pieczarkę w occie",
"Wytworz_Borowiki_w_occie","Prepare pickled boletus","Prepare pickled boletus","Wytwórz borowiki w occie",
"Wytworz_Rydza_w_occie","Prepare pickled saffron milk cap","Prepare pickled saffron milk cap","Wytwórz rydza w occie",
"Wytworz_Kania_w_occie","Prepare pickled parasol mushroom","Prepare pickled parasol mushroom","Wytwórz kanię w occie",
"Wytworz_gruszka_w_occie","Prepare pickled pear","Prepare pickled pear","Wytwórz gruszkę w occie",
"Wytworz_papryka_w_occie","Prepare pickled pepper","Prepare pickled pepper","Wytwórz paprykę w occie",
"Wytworz_Boczniaki_w_occie","Prepare pickled oyster mushrooms","Prepare pickled oyster mushrooms","Wytwórz boczniaki w occie",
"Wytworz_dynia_w_occie","Prepare pickled pumpkin","Prepare pickled pumpkin","Wytwórz dynię w occie",
"Wytworz_cukinia_w_occie","Prepare pickled zucchini","Prepare pickled zucchini","Wytwórz cukinię w occie",
"Wytworz_puszke_z_ocet","Prepare a can of vinegar","Prepare a can of vinegar","Nalej octu do puszki",
"Wytworz_puszke_z_Salt","Prepare a can of salt","Prepare a can of salt","Nasyp soli do puszki",
"Wytworz_puszke_z_cukrem","Prepare a can of sugar","Prepare a can of sugar","Nasyp cukru do puszki",
"Wytworz_sloik_z_octem","Prepare a jar of vinegar","Prepare a jar of vinegar","Nalej octu do słoika",
"Wytworz_sloik_z_cukrem","Prepare a jar of sugar","Prepare a jar of sugar","Nasyp cukru do słoika",
"Stworzono_puszke_z_Salt","A can of salt has been created!","A can of salt has been created!","Stworzono puszkę z solą!",
"Stworzono_puszke_z_ocet","A can of vinegar has been created!","A can of vinegar has been created!","Stworzono puszkę z octem!",
"Stworzono_puszke_z_cukrem","A sugar can has been created!","A sugar can has been created!","Stworzono puszkę z cukrem!",
"Stworzono_sloik_z_octem","The jar was filled with vinegar!","The jar was filled with vinegar!","Nalano ocet do słoika!",
"Stworzono_sloik_z_Cukrem","A sugar jar has been created!","A sugar jar has been created!","Nasypano cukier do słoika!",
"Narzędzia","Tools","Tools","Narzędzia",
"SaltStone","Salt Stone","Salt Stone","Sól kamienna",
"CanEmpty","empty can","empty can","Pusta puszka",
"puszka","Can","Can","Puszka",
"meat","meat","meat","Mięso",
"Konserwa","canning","canning","Konserwowanie",
"CanSalt","Can Salt","Can Salt","Puszka z solą",
"Gar","Pot","Pot","Garnek",
"ClockAlarm","Alarm Clock","Alarm Clock","Budzik",
"Szef_book","The chef's book","The chef's book","Książka szefa kuchni",
"Szef_cukier","Sugar","Sugar","Cukier",
"CanIngredient","Ingredient can","Ingredient can","Składnik puszka",
"JarIngredient","Ingredient jar","Ingredient jar","Składnik słoik",
"Ingredient_1","Ingredient 1","Ingredient 1","Składnik 1",
"Ingredient_2","Ingredient 2","Ingredient 2","Składnik 2",
"Ingredient_3","Ingredient 3","Ingredient 3","Składnik 3",
"JarEmpty","Empty Jar","Empty Jar","Pusty słoik",
"OcetCanCreated","Vinegar Can Created","Vinegar Can Created","Nalano ocet do puszki",
